Cache Size (in KB),Block Size (in bytes),Associativity,Replacement,# Blocks,# Rows,Overhead,Imp Memory Size,Cost in $,Total cache accesses,Cache hits,Cache Misses,Comp Misses,Conf Misses,Hit Rate,Miss Rate,CPI,Unused Cache Space,% Unused Cache Space,Waste in $,Unused Cache Blocks
64,4,1,RR,16384,16384,34816,98,4.9,255911,240379,15532,9376,6156,93.93070247,6.069297529,2.549625281,41.91796875,42.7734375,2.095898438,7008
64,4,1,RND,16384,16384,34816,98,4.9,255911,240379,15532,9376,6156,93.93070247,6.069297529,2.549625281,41.91796875,42.7734375,2.095898438,7008
64,4,2,RR,16384,8192,36864,100,5,255911,241420,14491,10544,3947,94.33748452,5.662515484,2.533627371,35.64453125,35.64453125,1.782226563,5840
64,4,2,RND,16384,8192,36864,100,5,255911,241579,14332,10544,3788,94.39961549,5.600384509,2.531183886,35.64453125,35.64453125,1.782226563,5840
64,4,4,RR,16384,4096,38912,102,5.1,255911,240776,15135,11127,4008,94.08583453,5.914165472,2.543524253,32.72790527,32.08618164,1.636395264,5257
64,4,4,RND,16384,4096,38912,102,5.1,255911,241720,14191,11127,3064,94.45471277,5.545287229,2.529017022,32.72790527,32.08618164,1.636395264,5257
64,4,8,RR,16384,2048,40960,104,5.2,255911,239528,16383,11842,4541,93.59816499,6.401835013,2.562703304,28.83105469,27.72216797,1.441552734,4542
64,4,8,RND,16384,2048,40960,104,5.2,255911,241758,14153,11842,2311,94.46956168,5.530438316,2.528433045,28.83105469,27.72216797,1.441552734,4542
64,4,16,RR,16384,1024,43008,106,5.3,255911,240054,15857,12595,3262,93.80370519,6.196294806,2.554619826,24.51379395,23.1262207,1.225689697,3789
64,4,16,RND,16384,1024,43008,106,5.3,255911,241987,13924,12595,1329,94.55904592,5.440954082,2.524913812,24.51379395,23.1262207,1.225689697,3789
64,16,1,RR,4096,4096,8704,72.5,3.6,255911,247816,8095,3560,4535,96.83679092,3.163209084,2.808542464,9.487304688,13.0859375,0.474365234,536
64,16,1,RND,4096,4096,8704,72.5,3.6,255911,247816,8095,3560,4535,96.83679092,3.163209084,2.808542464,9.487304688,13.0859375,0.474365234,536
64,16,2,RR,4096,2048,9216,73,3.65,255911,248018,7893,3848,4045,96.91572461,3.084275393,2.796125258,4.419921875,6.0546875,0.220996094,248
